material_id,formula_pretty,spacegroup,formation_energy_per_atom,band_gap,energy_above_hull,total_magnetization,ordering,total_magnetization_normalized_formula_units,num_magnetic_sites,theoretical,nsites
mp-978275,MgB7,Imma,-0.1578912293750001,1.4592,0.0,0.0,NM,0.0,0,False,32
mp-1016262,Mg7B,P-6m2,0.34893386437499885,0.0,0.38191598812499983,0.0028733,NM,0.0028733,0,True,8
mp-1016250,Mg3B,Pmm2,0.5900320512499997,0.0,0.6559962987499999,1.15e-05,NM,1.15e-05,0,True,4
mp-1222002,MgB3,P4/mmm,0.29962134906249904,0.0,0.4735807987499996,0.0011368,NM,0.0005684,0,True,8
mp-763,MgB2,P6/mmm,-0.1759046600000005,0.0,0.0,1e-07,NM,1e-07,0,False,3
mp-1023515,Mg15B,P-6m2,0.17783865718749947,0.0,0.19432971906249996,0.004298,NM,0.004298,0,True,16
mp-365,MgB4,Pnma,-0.17279232350000057,0.36409999999999965,0.0,0.0,NM,0.0,0,False,20
mp-110,Mg,Im-3m,0.03967987500000003,0.0,0.03967987500000003,0.0,NM,0.0,0,False,1
mp-1056351,Mg,I4/mmm,0.037615175,0.0,0.037615175,0.0,NM,0.0,0,False,1
mp-1094122,Mg,R-3m,0.010957432777777696,0.0,0.010957432777777498,1e-07,NM,1.111111111111111e-08,0,True,9
mp-1247180,Mg,Pmmn,0.17737867100000101,0.0,0.1773786710000005,0.0,NM,0.0,0,True,10
mp-1056702,Mg,Fm-3m,0.03018996499999993,0.0,0.03018996499999993,8.6e-06,NM,8.6e-06,0,True,1
mp-1055956,Mg,P6/mmm,0.23651014000000004,0.0,0.23651014000000004,0.0,NM,0.0,0,True,1
mp-153,Mg,P6_3/mmc,0.0,0.0,0.0,0.0,NM,0.0,0,False,2
mp-973364,Mg,P6_3/mmc,0.008570822499999409,0.0,0.008570822499999409,9e-07,NM,2.25e-07,0,True,4
mp-632401,B,P1,0.2915357083333336,0.0,0.291535708333333,0.0,NM,0.0,0,True,12
mp-570316,B,P4_2/nnm,0.1552666991666669,0.0,0.1552666991666669,1.6e-06,NM,3.3333333333333334e-08,0,False,48
mp-161,B,R-3m,0.019747466261904784,0.0,0.01974746626190438,1e-07,NM,9.523809523809524e-10,0,False,105
mp-1228790,B,R-3m,0.19068457950000137,0.0,0.19068457950000095,1.3e-06,NM,1.2380952380952381e-08,0,True,105
mp-1055985,B,P6/mmm,0.7073052808333342,0.0,0.7073052808333342,1e-07,NM,1e-07,0,False,1
mp-1182425,B,C2/m,0.4823335816666668,0.0,0.4823335816666665,0.0003072,NM,2.56e-05,0,True,12
mp-22046,B,P4_2/nnm,0.09513511709999989,0.0,0.095135117099999,2e-07,NM,3.9999999999999994e-09,0,False,50
mp-1202723,B,Fm-3m,0.32143077000000037,0.0,0.3214307700000001,0.0026779,NM,5.5789583333333335e-05,0,True,48
mp-729184,B,P2/c,1.4986150785833345,0.5116,1.4986150785833336,0.0007432,NM,1.8579999999999998e-05,0,False,40
mp-1193675,B,Pnnm,0.029066011071428477,1.5133,0.029066011071428477,0.0,NM,0.0,0,False,28
mp-541848,B,R-3m,0.7090749072222224,0.0,0.7090749072222229,0.0,NM,0.0,0,False,108
mp-1196985,B,Pm-3,0.21457527125000078,0.0,0.2145752712500002,0.7147173,NM,0.01488994375,0,True,48
mp-570602,B,P4_2/nnm,0.2234685456333341,0.0,0.22346854563333363,4.1e-06,FM,8.199999999999999e-08,2,False,50
mp-160,B,R-3m,0.0,1.4333999999999998,0.0,0.0,NM,0.0,0,False,12
mp-1104251,B,R-3m,0.21466703350000008,0.0,0.2146670335000005,0.0005542,NM,3.694666666666667e-05,0,False,15
