,material_id,formula_pretty,spacegroup,formation_energy_per_atom,band_gap,energy_above_hull,total_magnetization,ordering,total_magnetization_normalized_formula_units,num_magnetic_sites,theoretical,nsites,composition
0,mp-2331,B2Mo,R-3m,-0.4486411166666689,0.0,0.0,0.0,NM,0.0,0,False,6,B4Mo2
1,mp-2850,B2Os,Pmmn,-0.234607971666667,0.0,0.0,0.0,NM,0.0,0,False,6,B4Os2
2,mp-1077,B2Ru,Pmmn,-0.3083382666666689,0.0,0.0,2e-07,NM,1e-07,0,False,6,B4Ru2
3,mp-1079348,B3Os2,P6_3/mmc,-0.2734541915000023,0.0,0.0,0.0,NM,0.0,0,False,10,B6Os4
4,mp-13854,B3Ru2,P6_3/mmc,-0.3524967064999998,0.0,0.0,0.0,NM,0.0,0,False,10,B6Ru4
5,mp-1183252,BIr,P-6m2,-0.2150474412500003,0.0,0.0,0.0,NM,0.0,0,True,2,B1Ir1
6,mp-1890,BMo,I4_1/amd,-0.5239632375000021,0.0,0.0,0.0,NM,0.0,0,False,8,B4Mo4
7,mp-997617,BOs,P-6m2,-0.2723554562500005,0.0,0.0,0.0,NM,0.0,0,True,2,B1Os1
8,mp-7424,BPd2,Pnnm,-0.2753380958333362,0.0,0.0,0.0,NM,0.0,0,False,6,B2Pd4
9,mp-1077788,BPt2,P6_3/mmc,-0.2029287458333281,0.0,0.0,0.0,NM,0.0,0,False,6,B2Pt4
10,mp-567164,BRh,P6_3/mmc,-0.4290550837499989,0.0,0.0,1e-07,NM,5e-08,0,False,4,B2Rh2
11,mp-7832,BW,I4_1/amd,-0.3597101150000021,0.0,0.0,1e-07,NM,2.5e-08,0,False,8,B4W4
12,mp-1113,BW2,I4/mcm,-0.2456831291666645,0.0,0.0,1.07e-05,NM,5.35e-06,0,False,6,B2W4
13,mp-954,BaB6,Pm-3m,-0.4099723650000005,0.0,0.0,0.0,NM,0.0,0,False,7,Ba1B6
14,mp-27757,Be4B,P4/nmm,-0.0167171388333329,0.0,0.0,0.0,NM,0.0,0,False,10,Be8B2
15,mp-865,CaB6,Pm-3m,-0.4749661892857152,0.0,0.0,0.0,NM,0.0,0,False,7,Ca1B6
16,mp-20857,CoB,Pnma,-0.2975242550000008,0.0,0.0,0.0,NM,0.0,0,False,8,Co4B4
17,mp-1080664,CrB,I4_1/amd,-0.4107642512500007,0.0,0.0,0.0,NM,0.0,0,False,8,Cr4B4
18,mp-1078278,CrB4,Pnnm,-0.2653626899999992,0.0,0.0,0.0,NM,0.0,0,False,10,Cr2B8
19,mp-2057,DyB2,P6/mmm,-0.6426561166666668,0.0,0.0,3.1e-06,NM,3.1e-06,0,False,3,Dy1B2
20,mp-1774,ErB2,P6/mmm,-0.7018323727777798,0.0,0.0,4.7e-06,NM,4.7e-06,0,False,3,Er1B2
21,mp-1994,HfB2,P6/mmm,-1.084847615000001,0.0,0.0,1e-07,NM,1e-07,0,False,3,Hf1B2
22,mp-2267,HoB2,P6/mmm,-0.672561126666667,0.0,0.0,6.5e-06,NM,6.5e-06,0,False,3,Ho1B2
23,mp-1076,KB6,Pm-3m,-0.0803231541071432,0.0,0.0,0.0,NM,0.0,0,False,7,K1B6
24,mp-2680,LaB6,Pm-3m,-0.6254828528571424,0.0,0.0,1.5e-06,NM,1.5e-06,0,False,7,La1B6
25,mp-1001835,LiB,P6_3/mmc,-0.2246880620833335,0.0,0.0,2e-07,NM,1e-07,0,False,4,Li2B2
26,mp-763,MgB2,P6/mmm,-0.1759046600000005,0.0,0.0,1e-07,NM,1e-07,0,False,3,Mg1B2
27,mp-1080021,Nb2B3,Cmcm,-0.7710609375000018,0.0,0.0,0.0,NM,0.0,0,False,10,Nb4B6
28,mp-20689,Nb3B2,P4/mbm,-0.6726876870000013,0.0,0.0,0.0,NM,0.0,0,False,10,Nb6B4
29,mp-10255,Nb3B4,Immm,-0.789740828571429,0.0,0.0,0.0,NM,0.0,0,False,7,Nb3B4
30,mp-2580,NbB,Cmcm,-0.8092043887500004,0.0,0.0,9e-07,NM,4.5e-07,0,False,4,Nb2B2
31,mp-450,NbB2,P6/mmm,-0.7052428549999993,0.0,0.0,3.7e-06,NM,3.7e-06,0,False,3,Nb1B2
32,mp-1929,NdB6,Pm-3m,-0.5418206903571416,0.0,0.0,0.0,NM,0.0,0,False,7,Nd1B6
33,mp-2536,Ni2B,I4/mcm,-0.2826535191666662,0.0,0.0,0.0,NM,0.0,0,False,6,Ni4B2
34,mp-862847,PaB3,P6_3/mmc,-0.2152523081249988,0.0,0.0,0.0,NM,0.0,0,True,8,Pa2B6
35,mp-862984,PmB3,P6_3/mmc,-0.1322617087500006,0.0,0.0,0.0,NM,0.0,0,True,8,Pm2B6
36,mp-12762,PrB6,Pm-3m,-0.5475135952380948,0.0,0.0,0.0,NM,0.0,0,False,7,Pr1B6
37,mp-15671,Re3B,Cmcm,-0.2129025212499939,0.0,0.0,2e-07,NM,1e-07,0,False,8,Re6B2
38,mp-1773,ReB2,P6_3/mmc,-0.4486658425000011,0.0,0.0,2.3e-06,NM,1.15e-06,0,False,6,Re2B4
39,mp-2252,ScB2,P6/mmm,-0.8867963533333345,0.0,0.0,4e-07,NM,4e-07,0,False,3,Sc1B2
40,mp-6996,SmB6,Pm-3m,-0.5186441035714283,0.0,0.0,0.0,NM,0.0,0,False,7,Sm1B6
41,mp-242,SrB6,Pm-3m,-0.519013227857144,0.0,0.0,0.0,NM,0.0,0,False,7,Sr1B6
42,mp-13415,Ta3B2,P4/mbm,-0.7222628973999974,0.0,0.0,0.0,NM,0.0,0,False,10,Ta6B4
43,mp-10142,Ta3B4,Immm,-0.8041928760000019,0.0,0.0,0.0,NM,0.0,0,False,7,Ta3B4
44,mp-1097,TaB,Cmcm,-0.8638211649166685,0.0,0.0,4e-07,NM,2e-07,0,False,4,Ta2B2
45,mp-1108,TaB2,P6/mmm,-0.6625992641111106,0.0,0.0,0.0,NM,0.0,0,False,3,Ta1B2
46,mp-965,TbB2,P6/mmm,-0.608675188333334,0.0,0.0,4.7e-06,NM,4.7e-06,0,False,3,Tb1B2
47,mp-1087495,Tc3B,Cmcm,-0.2987983368749987,0.0,0.0,0.0,NM,0.0,0,False,8,Tc6B2
48,mp-1019317,TcB2,P6_3/mmc,-0.472480345000001,0.0,0.0,1e-07,NM,5e-08,0,False,6,Tc2B4
49,mp-1756,ThB6,Pm-3m,-0.5268706892857153,0.0,0.0,1e-07,NM,1e-07,0,False,7,Th1B6
50,mp-1025170,Ti3B4,Immm,-0.9771802414285722,0.0,0.0,0.0,NM,0.0,0,False,7,Ti3B4
51,mp-7857,TiB,Pnma,-0.8775135858333343,0.0,0.0,0.0,NM,0.0,0,False,8,Ti4B4
52,mp-1145,TiB2,P6/mmm,-1.099568030555557,0.0,0.0,0.0,NM,0.0,0,False,3,Ti1B2
53,mp-800,TmB2,P6/mmm,-0.7345357283333342,0.0,0.0,2.9e-06,NM,2.9e-06,0,False,3,Tm1B2
54,mp-9208,V2B3,Cmcm,-0.8331722524999989,0.0,0.0,0.0,NM,0.0,0,False,10,V4B6
55,mp-2091,V3B2,P4/mbm,-0.7769879830000008,0.0,0.0,0.0,NM,0.0,0,False,10,V6B4
56,mp-569270,V3B4,Immm,-0.8598989871428577,0.0,0.0,0.0,NM,0.0,0,False,7,V3B4
57,mp-9973,VB,Cmcm,-0.8998122912500008,0.0,0.0,1e-07,NM,5e-08,0,False,4,V2B2
58,mp-1491,VB2,P6/mmm,-0.7610838883333338,0.0,0.0,2.8e-06,NM,2.8e-06,0,False,3,V1B2
59,mp-1542,YB2,P6/mmm,-0.6286524649999995,0.0,0.0,2e-06,NM,2e-06,0,False,3,Y1B2
60,mp-1472,ZrB2,P6/mmm,-1.0667092333333343,0.0,0.0,1e-07,NM,1e-07,0,False,3,Zr1B2
